Organization number,Company name,email,website,Company visiting address,Company visiting postal code,Company visiting postal area,Company visiting county,Company visiting phone,Company postal address,Company postal code,Company postal area,Office name,Office visiting address,Office visiting postal code,Office visiting postal area,Office visiting county,Office visiting phone,Office postal address,Office postal code,Office postal area,turnovers-interval,employees-interval,Turnover,Profit,Result of the year,Assests,The year of figures,Registered,Profit margin,Liquidity,Solidity,Gross profit margin,2024- Employees,2023- Employees,2022- Employees,2024- Turnover,2023- Turnover,2022- Turnover,2024- Result after financial items,2023- Result after financial items,2022- Result after financial items,2024- Years result,2023- Years result,2022- Years result,2024- Assets,2023- Assets,2022- Assets,Operation description,SNI,Company status,Company registration,F-tax registered,Date for F-tax registration,VAT registered,Registration date for VAT,Entity type,Mother company name,Owbership type,County of seat,Munipality of seat,decision_maker_name,Decision maker title,decision_maker_email,decision_maker_number,Reference page,last_updated
5568327323,Equi Tours Sweden AB,info@equitours.se,www.equitours.se,,0,,,40298808,STJÄRNPLAN 3,21618,Limhamn,,,,,,,,,,,0,8132,3,3,2546,2019-12-01,2010,0.06,75.63,2.32,21.64,3,3,3,8132,9792,8544,3,5,1,3,5,1,2546,1912,3016,"Bolaget ska bedriva arrangemang av hästsportsevenemang och resor till sportevenemang, konferenser, företagsresor, studieresor och privatresor samt annan därmed förenlig verksamhet.",79120,Registrerad hos Bolagsverket,2010-12-15,Avregistrerad,2011-02-04,Yes,2011-02-04,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Eva Marie Catarin Nyberg,Styrelseledamot,info@equitours.se,,,2024-10-28 12:55
5568327323,Equi Tours Sweden AB,info@equitours.se,www.equitours.se,,0,,,40298808,STJÄRNPLAN 3,21618,Limhamn,,,,,,,,,,,0,8132,3,3,2546,2019-12-01,2010,0.06,75.63,2.32,21.64,3,3,3,8132,9792,8544,3,5,1,3,5,1,2546,1912,3016,"Bolaget ska bedriva arrangemang av hästsportsevenemang och resor till sportevenemang, konferenser, företagsresor, studieresor och privatresor samt annan därmed förenlig verksamhet.",79120,Registrerad hos Bolagsverket,2010-12-15,Avregistrerad,2011-02-04,Yes,2011-02-04,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Knut Olof Mikael Nyberg,Styrelsesuppleant,,,,2024-10-28 12:55
5562172667,AB Svensk Säkerhetstjänst - Hittegodstjänst,info@sst.se,www.sst.se,FLEMMINGGATAN 4,25439,Helsingborg,Skåne län,42385850,BOX 1394,25113,Helsingborg,,,,,,,,,,,0,26200,3990,4850,17572,2021-04-01,1982,16.5,158.41,53.53,96.25,17,11,11,26200,24727,22215,3990,9610,8561,4850,5744,5040,17572,19052,18286,"Bolaget skall bedriva verksamhet avseende registrering av identifikation på hittegods, spärrtjänster för förlorade värdeföremål, handel med värdepapper, äga och förvalta fastigheter samt idka därmed förenlig verksamhet.",8020047991,Active,1982-04-30,Registrerad,1994-01-01,Yes,1984-01-01,Aktiebolag,M D Eriksson AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Daniel Bjerny Holmberg,Revisor,,,,2024-10-28 12:55
5562172667,AB Svensk Säkerhetstjänst - Hittegodstjänst,info@sst.se,www.sst.se,FLEMMINGGATAN 4,25439,Helsingborg,Skåne län,42385850,BOX 1394,25113,Helsingborg,,,,,,,,,,,0,26200,3990,4850,17572,2021-04-01,1982,16.5,158.41,53.53,96.25,17,11,11,26200,24727,22215,3990,9610,8561,4850,5744,5040,17572,19052,18286,"Bolaget skall bedriva verksamhet avseende registrering av identifikation på hittegods, spärrtjänster för förlorade värdeföremål, handel med värdepapper, äga och förvalta fastigheter samt idka därmed förenlig verksamhet.",8020047991,Active,1982-04-30,Registrerad,1994-01-01,Yes,1984-01-01,Aktiebolag,M D Eriksson AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Lars Magnus Eriksson,Styrelseledamot,,,,2024-10-28 12:55
5562172667,AB Svensk Säkerhetstjänst - Hittegodstjänst,info@sst.se,www.sst.se,FLEMMINGGATAN 4,25439,Helsingborg,Skåne län,42385850,BOX 1394,25113,Helsingborg,,,,,,,,,,,0,26200,3990,4850,17572,2021-04-01,1982,16.5,158.41,53.53,96.25,17,11,11,26200,24727,22215,3990,9610,8561,4850,5744,5040,17572,19052,18286,"Bolaget skall bedriva verksamhet avseende registrering av identifikation på hittegods, spärrtjänster för förlorade värdeföremål, handel med värdepapper, äga och förvalta fastigheter samt idka därmed förenlig verksamhet.",8020047991,Active,1982-04-30,Registrerad,1994-01-01,Yes,1984-01-01,Aktiebolag,M D Eriksson AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Mats Daniel Eriksson,Styrelseledamot,,,,2024-10-28 12:55
5562172667,AB Svensk Säkerhetstjänst - Hittegodstjänst,info@sst.se,www.sst.se,FLEMMINGGATAN 4,25439,Helsingborg,Skåne län,42385850,BOX 1394,25113,Helsingborg,,,,,,,,,,,0,26200,3990,4850,17572,2021-04-01,1982,16.5,158.41,53.53,96.25,17,11,11,26200,24727,22215,3990,9610,8561,4850,5744,5040,17572,19052,18286,"Bolaget skall bedriva verksamhet avseende registrering av identifikation på hittegods, spärrtjänster för förlorade värdeföremål, handel med värdepapper, äga och förvalta fastigheter samt idka därmed förenlig verksamhet.",8020047991,Active,1982-04-30,Registrerad,1994-01-01,Yes,1984-01-01,Aktiebolag,M D Eriksson AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Michael Magnus Lettius,Styrelsesuppleant,,,,2024-10-28 12:55
5562229012,Verisure Group AB,info@securitas-direct.com,www.securitas-direct.com,NORDENSKIÖLDSGATAN 11 A,21119,Malmö,Skåne län,40254500,BOX 392,20123,Malmö,,,,,,,,,,,0,4325,2248155,2225417,68426139,2020-12-01,1982,22130.45,38.93,46.32,100,17,15,18,4325,115,10000,-2248155,-1943147,-2430000,-2225417,-1961470,-21000,68426139,71281525,68297000,"Föremålet för bolagets verksamhet är att (direkt eller indirekt genom dotterföretag) tillhandahålla tjänster och produkter inom säkerhetsbranschen, äga och förvalta fast och lös egendom samt bedriva annan därmed förenlig verksamhet.",70100,Active,1982-11-22,Registrerad,1997-01-01,Yes,1997-01-01,Aktiebolag,Dream Luxco Sca,"Publikt bolag,",Skåne län,Malmö,Anders Ola Bjärehäll,Huvudansvarig revisor,,,,2024-10-28 12:55
5562229012,Verisure Group AB,info@securitas-direct.com,www.securitas-direct.com,NORDENSKIÖLDSGATAN 11 A,21119,Malmö,Skåne län,40254500,BOX 392,20123,Malmö,,,,,,,,,,,0,4325,2248155,2225417,68426139,2020-12-01,1982,22130.45,38.93,46.32,100,17,15,18,4325,115,10000,-2248155,-1943147,-2430000,-2225417,-1961470,-21000,68426139,71281525,68297000,"Föremålet för bolagets verksamhet är att (direkt eller indirekt genom dotterföretag) tillhandahålla tjänster och produkter inom säkerhetsbranschen, äga och förvalta fast och lös egendom samt bedriva annan därmed förenlig verksamhet.",70100,Active,1982-11-22,Registrerad,1997-01-01,Yes,1997-01-01,Aktiebolag,Dream Luxco Sca,"Publikt bolag,",Skåne län,Malmö,Austin Lally,Styrelseledamot,austin.lally@securitas-direct.com,,,2024-10-28 12:55
5562229012,Verisure Group AB,info@securitas-direct.com,www.securitas-direct.com,NORDENSKIÖLDSGATAN 11 A,21119,Malmö,Skåne län,40254500,BOX 392,20123,Malmö,,,,,,,,,,,0,4325,2248155,2225417,68426139,2020-12-01,1982,22130.45,38.93,46.32,100,17,15,18,4325,115,10000,-2248155,-1943147,-2430000,-2225417,-1961470,-21000,68426139,71281525,68297000,"Föremålet för bolagets verksamhet är att (direkt eller indirekt genom dotterföretag) tillhandahålla tjänster och produkter inom säkerhetsbranschen, äga och förvalta fast och lös egendom samt bedriva annan därmed förenlig verksamhet.",70100,Active,1982-11-22,Registrerad,1997-01-01,Yes,1997-01-01,Aktiebolag,Dream Luxco Sca,"Publikt bolag,",Skåne län,Malmö,Daniel Erik Oskar Bruzaeus,Styrelseledamot,,,,2024-10-28 12:55
5562229012,Verisure Group AB,info@securitas-direct.com,www.securitas-direct.com,NORDENSKIÖLDSGATAN 11 A,21119,Malmö,Skåne län,40254500,BOX 392,20123,Malmö,,,,,,,,,,,0,4325,2248155,2225417,68426139,2020-12-01,1982,22130.45,38.93,46.32,100,17,15,18,4325,115,10000,-2248155,-1943147,-2430000,-2225417,-1961470,-21000,68426139,71281525,68297000,"Föremålet för bolagets verksamhet är att (direkt eller indirekt genom dotterföretag) tillhandahålla tjänster och produkter inom säkerhetsbranschen, äga och förvalta fast och lös egendom samt bedriva annan därmed förenlig verksamhet.",70100,Active,1982-11-22,Registrerad,1997-01-01,Yes,1997-01-01,Aktiebolag,Dream Luxco Sca,"Publikt bolag,",Skåne län,Malmö,Elizabeth Doohen Henry,Styrelseledamot,,,,2024-10-28 12:55
